,Unnamed: 0,index,created_at,length_list,protocol_list,src_mac_list,dst_mac_list,src_ip_list,dst_ip_list,src_port_list,dst_port_list,json_list
0,0,0,2020-11-03 15:21:13.486000,756.0,TCP,D4:61:FE:76:6E:01,00:23:24:D5:6A:DD,10.45.192.234,10.45.205.170,1521.0,13507.0,"{""sport"": 1521, ""dport"": 13507, ""seq"": 2602130969, ""ack"": 1846250743, ""flags"": 24, ""len"": 20, ""wsize"": 251, ""checksum"": 31927, ""pointer"": 0}"
1,1,1,2020-11-03 15:21:13.486000,,Profinet/IO,00:1B:1B:2F:1F:31,E0:DC:A0:96:60:F7,,,,,"{""ioxs"": 0, ""cycle_cnt"": 13056, ""dstatus"": 53, ""tstatus"": 0, ""spi"": 1, ""pds"": 1, ""dvd"": 1, ""state"": 1}"
2,2,2,2020-11-03 15:21:13.486000,211.0,TCP,00:23:55:87:D4:BC,00:23:55:87:D4:C8,10.45.205.118,10.45.205.123,2008.0,50956.0,"{""sport"": 2008, ""dport"": 50956, ""seq"": 1841735029, ""ack"": 3065018591, ""flags"": 24, ""len"": 32, ""wsize"": 16696, ""checksum"": 64933, ""pointer"": 0}"
3,3,3,2020-11-03 15:21:13.486000,155.0,S7COMM,00:23:55:87:D4:BC,00:1B:1B:2F:1F:31,10.45.205.118,10.45.205.115,49177.0,102.0,"{""header_protid"": 50, ""header_rosctr"": 1, ""header_pduref"": 114, ""header_parlg"": 98, ""header_datlg"": 0, ""param_service"": 4, ""parameter"": {""function"": 4, ""icount"": 8, ""items"": [{""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 336}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 344}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 352}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 360}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 368}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 376}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 384}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 392}]}}"
4,4,4,2020-11-03 15:21:13.486000,155.0,S7COMM,00:23:55:87:D4:BC,00:1B:1B:2F:1F:31,10.45.205.118,10.45.205.115,49177.0,102.0,"{""header_protid"": 50, ""header_rosctr"": 1, ""header_pduref"": 114, ""header_parlg"": 98, ""header_datlg"": 0, ""param_service"": 4, ""parameter"": {""function"": 4, ""icount"": 8, ""items"": [{""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 336}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 344}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 352}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 360}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 368}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 376}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 384}, {""var_spec"": 18, ""lofas"": 10, ""syntax_id"": 16, ""tsize"": 2, ""length"": 1, ""db_num"": 76, ""area"": 132, ""address"": 392}]}}"
5,5,5,2020-11-03 15:21:13.486000,,Profinet/IO,AC:64:17:77:29:D6,00:1B:1B:2F:1F:31,,,,,"{""ioxs"": 1, ""cycle_cnt"": 31744, ""dstatus"": 53, ""tstatus"": 0, ""spi"": 1, ""pds"": 1, ""dvd"": 1, ""state"": 1}"
6,6,6,2020-11-03 15:21:13.486000,,Profinet/IO,AC:64:17:77:29:D6,00:1B:1B:2F:1F:31,,,,,"{""ioxs"": 1, ""cycle_cnt"": 31744, ""dstatus"": 53, ""tstatus"": 0, ""spi"": 1, ""pds"": 1, ""dvd"": 1, ""state"": 1}"
7,7,7,2020-11-03 15:21:13.486000,61.0,TCP,00:23:24:D5:6A:DD,D4:61:FE:76:6E:01,10.45.205.170,10.45.192.234,13507.0,1521.0,"{""sport"": 13507, ""dport"": 1521, ""seq"": 1846250743, ""ack"": 2602131685, ""flags"": 24, ""len"": 20, ""wsize"": 16218, ""checksum"": 34299, ""pointer"": 0}"
8,8,8,2020-11-03 15:21:13.486000,66.0,S7COMM,E0:DC:A0:7B:25:10,00:23:55:BA:6A:7A,10.45.205.219,10.45.205.220,102.0,54356.0,"{""header_protid"": 50, ""header_rosctr"": 3, ""header_pduref"": 0, ""header_parlg"": 2, ""header_datlg"": 5, ""header_errcls"": 0, ""header_errcod"": 0, ""param_service"": 4, ""parameter"": {""function"": 4, ""icount"": 1}, ""data"": [{""rcode"": 255, ""tsize"": 4, ""length"": 1, ""data"": ""01""}]}"
9,9,9,2020-11-03 15:21:13.486000,62.0,S7COMM,D2:20:17:06:DC:67,00:1B:1B:2F:1F:31,10.45.205.116,10.45.205.115,102.0,49179.0,"{""header_protid"": 50, ""header_rosctr"": 3, ""header_pduref"": 40911, ""header_parlg"": 2, ""header_datlg"": 1, ""header_errcls"": 0, ""header_errcod"": 0, ""param_service"": 5, ""parameter"": {""function"": 5, ""icount"": 1}, ""data"": {""rcode"": 255}}"
